question,category,difficulty,success,latency_s,word_count,keyword_score,hallucination_count,length_assessment,num_sources,category_precision,answer,error
What's the optimal daily protein intake for muscle growth?,nutrition,easy,True,0.5950927734375,113,0.6,0,appropriate,6,1.0,"I recommend a daily protein intake of 1.6 g/kg/d of total bodyweight for optimal muscle growth. This is based on the latest meta-regression of the literature, which found that the break-off point of m...",
How should I structure my training split for hypertrophy?,training,medium,True,1.3075652122497559,302,1.0,0,too_long,6,0.8333333333333334,"To structure your training split for hypertrophy, I recommend determining your total weekly training frequency first. Based on the science, this will help you create an optimal training program. 

You...",
What are the best exercises for chest development?,training,easy,True,0.8314208984375,200,1.0,0,appropriate,6,1.0,"For chest development, I recommend the 45° Incline bench press with a wide grip and the Cable chest press. 

When performing the 45° Incline bench press, make sure your grip is as wide as possible whi...",
Should I do cardio while bulking and how much?,nutrition,medium,True,0.9310133457183838,174,0.5,0,appropriate,6,1.0,"I recommend minimizing cardio while bulking, as excessive cardio can interfere with muscle growth and recovery. When bulking, your primary focus should be on resistance training and adequate nutrition...",
How to prevent common training injuries?,training,medium,True,2.038006544113159,237,0.5,0,appropriate,6,0.8333333333333334,"To prevent common training injuries, I recommend modifying your exercise selection as the primary strategy. Most injuries are specific to certain exercises, and swapping out the culprit exercise can o...",
Which supplements are actually worth taking?,nutrition,easy,True,5.869898557662964,187,0.5,0,appropriate,6,1.0,"I recommend being cautious when it comes to supplements, as most don't stand the test of time scientifically or anecdotally. However, some supplements can be effective when used in the right situation...",
Explain the science of muscle protein synthesis,science,hard,True,6.22874116897583,260,1.0,0,appropriate,6,0.0,"I recommend understanding that muscle protein synthesis (MPS) is the foundation of muscle growth. Based on the science, MPS occurs in our muscle cells, where our genes, containing our DNA, are transcr...",
How does sleep affect muscle recovery and growth?,lifestyle,medium,True,7.219003438949585,275,1.0,0,appropriate,6,1.0,"I recommend prioritizing sleep as a crucial component of your muscle recovery and growth strategy. Based on the science, sleep deprivation can have a significant impact on muscle recovery, with studie...",
What's the difference between powerlifting and bodybuilding training?,training,medium,True,8.11947512626648,205,1.0,0,appropriate,6,1.0,"I recommend understanding that the primary difference between powerlifting and bodybuilding training lies in specificity and training goals. Powerlifting training is highly specific, focusing on devel...",
How do I calculate my maintenance calories?,nutrition,easy,True,6.013521909713745,196,0.75,0,appropriate,6,1.0,"To calculate your maintenance calories, we need to consider your Basal Metabolic Rate (BMR), Physical Activity Level (PAL), and Thermic Effect of Food (TEF). I recommend using the formula: REE = BMR *...",
